Straßennummer;Straßenname;Folge;Hausnr. (von);Zusatz zur Hausnr (von);Hausnr. (bis);Zusatz zur Hausnr (bis);Ortsbezirk;Stadtteil Name;Stadtbezirk;Stadtbezirksvorst;Schiedsleutebezirk;Sozialrathaus Name;Polizeirevier;Postleitzahl
29;Allendorfer Straße;ungerade;37;;85;;9;Eschersheim;452;09.66;9;Dornbusch;12;60433
29;Allendorfer Straße;gerade;18;;50;;9;Dornbusch;462;09.69;9;Dornbusch;12;60433
29;Allendorfer Straße;gerade;52;;76;;9;Eschersheim;452;09.66;9;Dornbusch;12;60433
30;Allerheiligenstraße;ungerade;;;;;1;Innenstadt;080;01.01;1;Ost;1;60313
30;Allerheiligenstraße;gerade;;;;;1;Innenstadt;070;01.01;1;Ost;1;60313
31;Allerheiligentor;ungerade;;;;;1;Innenstadt;070;01.01;1;Ost;1;60311
31;Allerheiligentor;gerade;;;;;1;Innenstadt;080;01.01;1;Ost;1;60311
32;Allesinastraße;;;;;;6;Sindlingen;601;06.47;6B;Höchst;17;65931
33;Allmeygang;;;;;;6;Höchst;580;06.45;6C;Höchst;17;65929
3295;Alois-Brisbois-Weg;;;;;;6;Höchst;570;06.44;6C;Höchst;17;65929
3048;Alois-Eckert-Straße;;;;;;5;Niederrad;372;05.36;5B;Sachsenhausen;10;60528
34;Alpenroder Straße;;;;;;6;Sossenheim;631;06.53;6C;Höchst;17;65936
35;Alsfelder Straße;;;;;;11;Seckbach;390;11.75;11;Ost;6;60389
2835;Alt-Bergen;;;;;;16;Bergen-Enkheim;680;16.83;16;Ost;18;60388
36;Alt-Bonames;;;;;;10;Bonames;491;10.70;10;Nord;14;60437
37;Alt-Bornheim;;;;;;4;Bornheim;272;04.22;4;Ost;6;60385
2836;Alt-Enkheim;;;;;;16;Bergen-Enkheim;680;16.83;16;Ost;18;60388
2637;Alt-Erlenbach;;;;;;13;Nieder-Erlenbach;640;13.80;13;Nord;14;60437
53;Alt-Eschersheim;ungerade;3;;7;;9;Eschersheim;452;09.66;9;Dornbusch;12;60433
53;Alt-Eschersheim;ungerade;17;;91;;9;Eschersheim;451;09.65;9;Dornbusch;12;60433
53;Alt-Eschersheim;gerade;2;;10;;9;Eschersheim;452;09.66;9;Dornbusch;12;60433
53;Alt-Eschersheim;gerade;20;;84;;9;Eschersheim;451;09.65;9;Dornbusch;12;60433
58;Alt-Fechenheim;ungerade;31;;101;;11;Fechenheim;510;11.77;11;Ost;18;60386
58;Alt-Fechenheim;ungerade;103;;131;;11;Fechenheim;520;11.78;11;Ost;18;60386
58;Alt-Fechenheim;gerade;32;;100;;11;Fechenheim;510;11.77;11;Ost;18;60386
58;Alt-Fechenheim;gerade;102;;138;;11;Fechenheim;520;11.78;11;Ost;18;60386
59;Alt-Ginnheim;;;;;;9;Ginnheim;441;09.67;9;Nord;12;60431
60;Alt-Griesheim;ungerade;1;;19;;6;Griesheim;541;06.39;6A;Gallus;16;65933
60;Alt-Griesheim;ungerade;23;;77;;6;Griesheim;551;06.39;6A;Gallus;16;65933
60;Alt-Griesheim;gerade;2;;38;;6;Griesheim;541;06.39;6A;Gallus;16;65933
60;Alt-Griesheim;gerade;44;;90a;a;6;Griesheim;551;06.39;6A;Gallus;16;65933
2706;Alt-Harheim;;;;;;14;Harheim;660;14.81;14;Nord;14;60437
61;Alt-Hausen;;;;;;7;Hausen;410;07.58;7;Bockenheim;11;60488
62;Alt-Heddernheim;;;;;;8;Heddernheim;431;08.61;8;Nord;14;60439
64;Alt-Höchst;;;;;;6;Höchst;591;06.46;6C;Höchst;17;65929
2669;Alt-Kalbach;;;;;;12;Kalbach-Riedberg;650;12.79;12;Nord;14;60437
66;Alt-Nied;;;;;;6;Nied;561;06.42;6A;Höchst;16;65934
2753;Alt-Niedereschbach;;;;;;15;Nieder-Eschbach;670;15.82;15;Nord;14;60437
67;Alt-Niederursel;;;;;;8;Niederursel;481;08.63;8;Nord;14;60439
68;Alt-Praunheim;;;;;;7;Praunheim;425;07.60;7;Bockenheim;14;60488
69;Alt-Preungesheim;;;;;;10;Preungesheim;470;10.73;10;Dornbusch;12;60435
70;Alt-Rödelheim;ungerade;;;;;7;Rödelheim;402;07.56;7;Bockenheim;11;60489
70;Alt-Rödelheim;gerade;;;;;7;Rödelheim;401;07.55;7;Bockenheim;11;60489
71;Alt-Schwanheim;;;;;;6;Schwanheim;531;06.38;6A;Sachsenhausen;10;60529
72;Alt-Seckbach;;;;;;11;Seckbach;390;11.75;11;Ost;6;60389
73;Alt-Sindlingen;;;;;;6;Sindlingen;601;06.47;6B;Höchst;17;65931
74;Alt-Sossenheim;ungerade;3;;51;;6;Sossenheim;632;06.54;6C;Höchst;17;65936
74;Alt-Sossenheim;ungerade;57;;87;;6;Sossenheim;631;06.53;6C;Höchst;17;65936
74;Alt-Sossenheim;gerade;2;;32;;6;Sossenheim;632;06.54;6C;Höchst;17;65936
74;Alt-Sossenheim;gerade;34;;84;;6;Sossenheim;631;06.53;6C;Höchst;17;65936
75;Alt-Zeilsheim;ungerade;;;;;6;Zeilsheim;611;06.49;6B;Höchst;17;65931
75;Alt-Zeilsheim;gerade;2;;48a;a;6;Zeilsheim;611;06.49;6B;Höchst;17;65931
75;Alt-Zeilsheim;gerade;54;;76;;6;Zeilsheim;612;06.50;6B;Höchst;17;65931
43;Alte Brücke;;;;;;5;Sachsenhausen-N.;300;05.31;5A;Sachsenhausen;8;60594
2636;Alte Fahrt;;;;;;13;Nieder-Erlenbach;640;13.80;13;Nord;14;60437
44;Alte Falterstraße;ungerade;;;;;6;Griesheim;541;06.39;6A;Gallus;16;65933
44;Alte Falterstraße;gerade;;;;;6;Griesheim;551;06.39;6A;Gallus;16;65933
45;Alte Gasse;;;;;;1;Innenstadt;060;01.02;1;Ost;1;60313
2737;Alte Hofgasse;;;;;;15;Nieder-Eschbach;670;15.82;15;Nord;14;60437
47;Alte Mainzer Gasse;;;;;;1;Altstadt;010;01.01;1;Ost;1;60311
49;Alte Niddabrücke;;;;;;6;Nied;561;06.42;6A;Höchst;16;65934
49;Alte Niddabrücke;;;;;;6;Nied;561;06.42;6A;Höchst;17;65934
3484;Alte Riedbergstraße;;;;;;12;Kalbach-Riedberg;650;12.79;12;Nord;14;60437
51;Alte Rothofstraße;;;;;;1;Innenstadt;050;01.02;1;Ost;1;60313
41;Altebergs-Zwerchgäßchen;;;;;;5;Sachsenhausen-S.;332;05.29;5A;Sachsenhausen;8;60599
38;Altebergsgäßchen I. (Erstes);;;;;;5;Sachsenhausen-S.;332;05.29;5A;Sachsenhausen;8;60599
39;Altebergsgäßchen II. (Zweites);;;;;;5;Sachsenhausen-S.;332;05.29;5A;Sachsenhausen;8;60599
40;Altebergsweg;ungerade;31;;;;5;Sachsenhausen-S.;332;05.29;5A;Sachsenhausen;8;60599
40;Altebergsweg;ungerade;99;;119;;5;Oberrad;380;05.28;5A;Sachsenhausen;8;60599
40;Altebergsweg;gerade;;;;;5;Sachsenhausen-S.;332;05.29;5A;Sachsenhausen;8;60599
42;Altebornstraße;;;;;;11;Seckbach;390;11.75;11;Ost;6;60389
48;Altenburger Weg;;;;;;6;Zeilsheim;611;06.49;6B;Höchst;17;65931
3649;Altenhainer Straße;;;;;;1;Gallus;162;01.07;1;Gallus;4;60326
3414;Altenhöferallee;ungerade;1;;7;;8;Niederursel;484;08.63;8;Nord;14;60438
3414;Altenhöferallee;ungerade;15;;189;;12;Kalbach-Riedberg;651;12.79;12;Nord;14;60438
3414;Altenhöferallee;gerade;2;;;;8;Niederursel;484;08.63;8;Nord;14;60438
3414;Altenhöferallee;gerade;14;;132;;12;Kalbach-Riedberg;651;12.79;12;Nord;14;60438
3735;Alter Gerichtsplatz;;;;;;12;Kalbach-Riedberg;651;12.79;12;Nord;14;60438
3778;Alter Harheimer Kirchplatz;;;;;;14;Harheim;660;14.81;14;Nord;14;60437
52;Alter Schulpfad;;;;;;6;Nied;561;06.42;6A;Höchst;16;65934
3207;Alter Wartweg;;;;;;16;Bergen-Enkheim;680;16.83;16;Ost;18;60388
57;Altes Schützenhüttengäßchen;;;;;;5;Sachsenhausen-S.;332;05.29;5A;Sachsenhausen;8;60599
63;Altheimstraße;;;;;;9;Eschersheim;452;09.66;9;Dornbusch;12;60431
3507;Altkönigblick;;;;;;14;Harheim;660;14.81;14;Nord;14;60437
65;Altkönigstraße;;;;;;2;Westend-Süd;180;02.10;2;Bockenheim;3;60323
2738;Altvaterstraße;;;;;;15;Nieder-Eschbach;670;15.82;15;Nord;14;60437
76;Alzeyer Straße;;;;;;6;Nied;561;06.42;6A;Höchst;16;65934
77;Am Abtshof;;;;;;6;Schwanheim;531;06.38;6A;Sachsenhausen;10;60529
3380;Am Alten Friedhof;;;;;;5;Sachsenhausen-N.;324;05.32;5A;Sachsenhausen;8;60594
79;Am Alten Schloß;;;;;;8;Praunheim;426;08.62;7;Nord;14;60439
80;Am Alten See;;;;;;7;Rödelheim;401;07.55;7;Bockenheim;11;60489
3361;Am Alten Volkshaus;;;;;;11;Riederwald;262;11.76;11;Ost;18;60386
81;Am Ameisenberg;;;;;;4;Bornheim;272;04.22;4;Ost;6;60385
83;Am Atzelberg;;;;;;11;Seckbach;390;11.75;11;Ost;6;60389
84;Am Auerborn;;;;;;6;Schwanheim;532;06.37;6A;Sachsenhausen;10;60529
2707;Am Auweg;;;;;;14;Harheim;660;14.81;14;Nord;14;60437
85;Am Bachberg;;;;;;10;Preungesheim;470;10.73;10;Dornbusch;12;60435
2837;Am Bächelchen;;;;;;16;Bergen-Enkheim;680;16.83;16;Ost;18;60388
2838;Am Berger Spielhaus;;;;;;16;Bergen-Enkheim;680;16.83;16;Ost;18;60388
2839;Am Bienenstock;;;;;;16;Bergen-Enkheim;680;16.83;16;Ost;18;60388
2638;Am Bier;;;;;;13;Nieder-Erlenbach;640;13.80;13;Nord;14;60437
3077;Am Bonifatiusbrunnen;;;;;;12;Kalbach-Riedberg;651;12.79;12;Nord;14;60438
88;Am Börnchen;;;;;;6;Schwanheim;532;06.37;6A;Sachsenhausen;10;60529
89;Am Bornheimer Hang;gerade;2;;4;;4;Bornheim;281;04.24;4;Ost;6;60386
89;Am Bornheimer Hang;gerade;10;;;;4;Bornheim;290;04.22;4;Ost;6;60386
3385;Am Borsdorfer;;;;;;10;Preungesheim;470;10.73;10;Dornbusch;12;60435
91;Am Brennhaus;;;;;;6;Griesheim;541;06.39;6A;Gallus;16;65933
92;Am Brückengarten;;;;;;9;Eschersheim;452;09.66;9;Dornbusch;12;60431
3008;Am Brünnchen;;;;;;6;Sossenheim;631;06.53;6C;Höchst;17;65936
2670;Am Brunnengarten;;;;;;12;Kalbach-Riedberg;650;12.79;12;Nord;14;60437
3732;Am Bubeloch;;;;;;8;Heddernheim;431;08.61;8;Nord;14;60439
2639;Am Buchbaum;;;;;;13;Nieder-Erlenbach;640;13.80;13;Nord;14;60437
93;Am Buchwald;ungerade;1;;7;;4;Ostend;252;04.25;4;Ost;5;60385
93;Am Buchwald;ungerade;15;;;;4;Bornheim;282;04.24;4;Ost;5;60385
3215;Am Bürgerbrunnen;;;;;;13;Nieder-Erlenbach;640;13.80;13;Nord;14;60437
94;Am Burghof;ungerade;3;;49;;10;Bonames;491;10.70;10;Nord;14;60437
94;Am Burghof;ungerade;53;;55;;12;Kalbach-Riedberg;650;12.79;12;Nord;14;60437
94;Am Burghof;gerade;;;;;10;Bonames;491;10.70;10;Nord;14;60437
3137;Am Büttelstück;;;;;;11;Seckbach;390;11.75;11;Ost;18;60388
95;Am Dachsberg;ungerade;1;;105;;10;Berkersheim;500;10.74;10;Nord;14;60435
95;Am Dachsberg;ungerade;107;;129;;10;Preungesheim;470;10.73;10;Dornbusch;14;60435
95;Am Dachsberg;gerade;14;;110c;c;10;Berkersheim;500;10.74;10;Nord;14;60435
95;Am Dachsberg;gerade;114;;204;;10;Preungesheim;470;10.73;10;Dornbusch;14;60435
96;Am Dammgraben;;;;;;2;Bockenheim;163;02.15;2;Bockenheim;13;60486
97;Am Dorfgarten;;;;;;10;Preungesheim;470;10.73;10;Dornbusch;12;60435
98;Am Dornbusch;ungerade;;;;;2;Westend-Nord;192;02.09;2;Dornbusch;12;60320
98;Am Dornbusch;gerade;;;;;9;Dornbusch;442;09.68;9;Dornbusch;12;60320
99;Am Ebelfeld;;;;;;7;Praunheim;422;07.59;7;Bockenheim;14;60488
100;Am Eckenheimer Friedhof;;;;;;10;Eckenheim;461;10.72;10;Dornbusch;12;60435
2640;Am Eichbaum;;;;;;13;Nieder-Erlenbach;640;13.80;13;Nord;14;60437
101;Am Eichenloh;;;;;;9;Ginnheim;441;09.67;9;Nord;12;60431
102;Am Eisernen Schlag;;;;;;9;Ginnheim;441;09.67;9;Nord;12;60431
2998;Am Eiswerk;;;;;;16;Bergen-Enkheim;680;16.83;16;Ost;18;60388
103;Am Elektrizitätswerk;;;;;;1;Gutleutviertel;151;01.04;1;Gallus;4;60327
104;Am Ellerfeld;;;;;;7;Hausen;410;07.58;7;Bockenheim;11;60488
3394;Am Enkheimer Steg;;;;;;11;Seckbach;390;11.75;11;Ost;6;60388
3394;Am Enkheimer Steg;;;;;;11;Seckbach;390;11.75;11;Ost;18;60388
2708;Am Entenpfad;;;;;;14;Harheim;660;14.81;14;Nord;14;60437
105;Am Erlenbruch;ungerade;1;;;;4;Bornheim;281;04.24;4;Ost;6;60386
105;Am Erlenbruch;ungerade;3;;131;;11;Seckbach;390;11.75;11;Ost;18;60386
105;Am Erlenbruch;gerade;2;;134;;11;Riederwald;262;11.76;11;Ost;18;60386
105;Am Erlenbruch;gerade;136;;;;11;Fechenheim;510;11.77;11;Ost;18;60386
2709;Am Eschbachtal;;;;;;14;Harheim;660;14.81;14;Nord;14;60437
3610;Am Eschersheimer Abtshof;;;;;;9;Eschersheim;451;09.65;9;Dornbusch;12;60433
107;Am Faulbrunnen;;;;;;6;Sossenheim;631;06.53;6C;Höchst;17;65936
3707;Am Felsenkeller;;;;;;5;Sachsenhausen-S.;332;05.29;5A;Sachsenhausen;8;60599
108;Am Fischstein;ungerade;29;;33;;7;Hausen;410;07.58;7;Bockenheim;11;60488
108;Am Fischstein;ungerade;45;;69;;7;Bockenheim;343;07.57;2;Bockenheim;11;60487
108;Am Fischstein;gerade;2;;38;;7;Hausen;410;07.58;7;Bockenheim;11;60488
108;Am Fischstein;gerade;46;;70;;7;Bockenheim;343;07.57;2;Bockenheim;11;60487
109;Am Fischwehr;;;;;;11;Fechenheim;510;11.77;11;Ost;18;60386
3626;Am Flughafen;;;;;;5;Flughafen;329;05.34;5A;Sachsenhausen;19;60549
2964;Am Försterpfad;;;;;;6;Schwanheim;532;06.37;6A;Sachsenhausen;10;60529
110;Am Forum;;;;;;8;Heddernheim;432;08.62;8;Nord;14;60439
3336;Am Gabelacker;;;;;;9;Eschersheim;451;09.65;9;Dornbusch;12;60433
2597;Am Galgen (Wohnplatz);;;;;;11;Seckbach;390;11.75;11;Ost;6;60389
3307;Am Galgenberg;;;;;;4;Bornheim;272;04.22;4;Ost;6;60385
3307;Am Galgenberg;;;;;;4;Bornheim;272;04.22;4;Ost;6;60389
3307;Am Galgenberg;;;;;;4;Bornheim;290;04.22;4;Ost;6;60385
3307;Am Galgenberg;;;;;;4;Bornheim;290;04.22;4;Ost;6;60386
3307;Am Galgenberg;;;;;;11;Seckbach;390;11.75;11;Ost;6;60385
3307;Am Galgenberg;;;;;;11;Seckbach;390;11.75;11;Ost;6;60389
111;Am Gansbühel;;;;;;11;Fechenheim;510;11.77;11;Ost;18;60386
112;Am Geistpförtchen;;;;;;1;Altstadt;010;01.01;1;Ost;1;60311
113;Am Gemeindegarten;;;;;;6;Griesheim;541;06.39;6A;Gallus;16;65933
3027;Am Ginnheimer Hang;;;;;;9;Ginnheim;441;09.67;9;Nord;12;60431
3145;Am Ginnheimer Wäldchen;ungerade;3;;7;;9;Ginnheim;441;09.67;9;Nord;14;60431
3145;Am Ginnheimer Wäldchen;ungerade;11;;;;9;Ginnheim;441;09.67;9;Nord;12;60431
3145;Am Ginnheimer Wäldchen;ungerade;15;;;;9;Ginnheim;441;09.67;9;Nord;14;60431
3145;Am Ginnheimer Wäldchen;gerade;2;;6;;9;Ginnheim;441;09.67;9;Nord;14;60431
3145;Am Ginnheimer Wäldchen;gerade;8;;;;9;Ginnheim;441;09.67;9;Nord;12;60431
2932;Am Gisisberg (Wohnplatz);;;;;;16;Bergen-Enkheim;680;16.83;16;Ost;18;60388
114;Am Goldsteinpark;;;;;;6;Schwanheim;532;06.37;6A;Sachsenhausen;10;60529
115;Am Graben;;;;;;6;Schwanheim;531;06.38;6A;Sachsenhausen;10;60529
117;Am Großen Berge;;;;;;9;Ginnheim;441;09.67;9;Nord;12;60431
118;Am Grünen Graben;;;;;;9;Eschersheim;451;09.65;9;Dornbusch;12;60433
119;Am Grünhof;;;;;;2;Westend-Nord;192;02.09;2;Dornbusch;12;60320
2840;Am Günthersbrunnen;;;;;;16;Bergen-Enkheim;680;16.83;16;Ost;18;60388
2671;Am Hang;;;;;;12;Kalbach-Riedberg;650;12.79;12;Nord;14;60437
2672;Am Hasensprung;;;;;;12;Kalbach-Riedberg;650;12.79;12;Nord;14;60437
120;Am Hauptbahnhof;ungerade;;;;;1;Gallus;152;01.06;1;Gallus;4;60329
120;Am Hauptbahnhof;gerade;;;;;1;Bahnhofsviertel;090;01.03;1;Gallus;4;60329
3755;Am Heddernheimer Gaswerk;;;;;;8;Heddernheim;431;08.61;8;Nord;14;60439
3705;Am Henninger Turm;;;;;;5;Sachsenhausen-S.;332;05.29;5A;Sachsenhausen;8;60599
121;Am Hennsee;ungerade;;;;;11;Fechenheim;520;11.78;11;Ost;18;60386
121;Am Hennsee;gerade;;;;;11;Fechenheim;510;11.77;11;Ost;18;60386
122;Am Herrenhof;;;;;;10;Berkersheim;500;10.74;10;Nord;14;60435
2842;Am Hessen-Center;;;;;;16;Bergen-Enkheim;680;16.83;16;Ost;18;60388
2841;Am Hessenborn;;;;;;16;Bergen-Enkheim;680;16.83;16;Ost;18;60388
3598;Am Himmerich;;;;;;12;Kalbach-Riedberg;651;12.79;12;Nord;14;60438
2609;Am Hirtenacker;;;;;;7;Hausen;410;07.58;7;Bockenheim;11;60488
123;Am Hochwehr;;;;;;9;Ginnheim;441;09.67;9;Nord;12;60431
124;Am Hofgut;;;;;;7;Praunheim;422;07.59;7;Bockenheim;14;60488
2803;Am Hofgut Goldstein;;;;;;6;Schwanheim;532;06.37;6A;Sachsenhausen;10;60529
3306;Am Hohen Markstein;;;;;;4;Bornheim;272;04.22;4;Ost;6;60389
126;Am Hohen Weg;ungerade;;;;;7;Hausen;410;07.58;7;Bockenheim;11;60488
126;Am Hohen Weg;gerade;10;;;;7;Bockenheim;343;07.57;2;Bockenheim;11;60488
126;Am Hohen Weg;gerade;12;;30;;7;Hausen;410;07.58;7;Bockenheim;11;60488
2598;Am Hohlacker;;;;;;10;Berkersheim;500;10.74;10;Nord;14;60435
3334;Am Höhstock;;;;;;9;Eschersheim;451;09.65;9;Dornbusch;12;60433
3280;Am Höllenberg;;;;;;12;Kalbach-Riedberg;650;12.79;12;Nord;14;60437
2754;Am Hollerbusch;;;;;;15;Nieder-Eschbach;670;15.82;15;Nord;14;60437
3053;Am Hollgraben;;;;;;16;Bergen-Enkheim;680;16.83;16;Ost;18;60388
3006;Am Höllsteg;;;;;;13;Nieder-Erlenbach;640;13.80;13;Nord;14;60437
128;Am Honigberg;;;;;;10;Berkersheim;500;10.74;10;Nord;14;60435
2673;Am Hopfenbrunnen;;;;;;12;Kalbach-Riedberg;650;12.79;12;Nord;14;60437
129;Am Hopfengarten;;;;;;7;Rödelheim;402;07.56;7;Bockenheim;11;60489
130;Am Hühnerberg;;;;;;6;Nied;561;06.42;6A;Höchst;17;65934
131;Am Industriehof;ungerade;;;;;7;Bockenheim;343;07.57;2;Bockenheim;11;60487
131;Am Industriehof;gerade;;;;;7;Hausen;410;07.58;7;Bockenheim;11;60487
3389;Am Jessenapfel;;;;;;10;Preungesheim;470;10.73;10;Dornbusch;12;60435
3031;Am Kalten Berg;;;;;;10;Berkersheim;500;10.74;10;Nord;14;60435
132;Am Kapellenberg;;;;;;6;Sossenheim;631;06.53;6C;Höchst;17;65936
133;Am Kappelgarten;;;;;;11;Seckbach;390;11.75;11;Ost;6;60389
2978;Am Kiesberg;;;;;;6;Schwanheim;532;06.37;6A;Sachsenhausen;10;60529
134;Am Kirchberg;;;;;;9;Eschersheim;452;09.66;9;Dornbusch;12;60431
135;Am Kirchholz;;;;;;6;Schwanheim;531;06.38;6A;Sachsenhausen;10;60529
3384;Am Klarapfel;;;;;;10;Preungesheim;470;10.73;10;Dornbusch;12;60435
2641;Am Klingelborn;;;;;;13;Nieder-Erlenbach;640;13.80;13;Nord;14;60437
2843;Am Königshof;;;;;;16;Bergen-Enkheim;680;16.83;16;Ost;18;60388
136;Am Köstrich;;;;;;7;Rödelheim;401;07.55;7;Bockenheim;11;60489
137;Am Kreuz;;;;;;6;Sossenheim;632;06.54;6C;Höchst;17;65936
138;Am Kunzengarten;;;;;;6;Sossenheim;632;06.54;6C;Höchst;17;65936
139;Am Lachgraben;;;;;;6;Sindlingen;601;06.47;6B;Höchst;17;65931
