Straßennummer;Straßenname;Folge;Hausnr. (von);Zusatz zur Hausnr (von);Hausnr. (bis);Zusatz zur Hausnr (bis);Ortsbezirk;Stadtteil Name;Stadtbezirk;Stadtbezirksvorst;Schiedsamtsbezirk;Sozialrathausbezirk;Sozialbezirk;Polizeirevier;Postleitzahl
2181;"Schulze-Delitzsch-Straße";"";"";"";"";"";"11";"Riederwald";"262";"11.76";"11";"A1";17;"18";60386
2182;"Schumannstraße";"";"";"";"";"";"2 ";"Westend-Süd";"170";"2.11";" 2";"A4";3;"13";60325
2183;"Schwabstraße";"";"";"";"";"";"10";"Eckenheim";"461";"10.72";"10";"B3";40;"12";60435
2184;"Schwälmer Straße";"";"";"";"";"";"2 ";"Bockenheim";"350";"2.13";" 2";"A4";25;"13";60486
2185;"Schwagerstraße";"";"";"";"";"";"9 ";"Eschersheim";"452";"9.66";" 9";"B3";39;"12";60431
2186;"Schwalbacher Straße";"gerade";"18";"";"40";"";"1 ";"Gallus";"153";"1.05";" 1";"A3";7;"4";60326
2186;"Schwalbacher Straße";"gerade";"42";"";"100";"";"1 ";"Gallus";"162";"1.07";" 1";"A3";9;"4";60326
2186;"Schwalbacher Straße";"ungerade";"47";"";"71";"";"1 ";"Gallus";"162";"1.07";" 1";"A3";9;"4";60326
2186;"Schwalbacher Straße";"ungerade";"5";"";"27";"";"1 ";"Gallus";"153";"1.05";" 1";"A3";7;"4";60326
2187;"Schwanenhof (Wohnplatz)";"";"";"";"";"";"6 ";"Schwanheim";"531";"6.38";"6A";"A6";50;"10";60529
2188;"Schwanenstraße";"";"";"";"";"";"4 ";"Ostend";"140";"4.26";" 4";"A1";6;"5";60314
2189;"Schwanheimer Bahnstraße";"";"";"";"";"";"6 ";"Schwanheim";"531";"6.38";"6A";"A6";50;"10";60529
2190;"Schwanheimer Brücke";"";"";"";"";"";"6 ";"Schwanheim";"531";"6.38";"6A";"A6";50;"10";60529
2190;"Schwanheimer Brücke";"";"";"";"";"";"6 ";"Nied";"561";"6.42";"6A";"A7";53;"16";65934
2191;"Schwanheimer Straße";"";"";"";"";"";"5 ";"Niederrad";"371";"5.35";"5B";"A6";28;"10";60528
2192;"Schwanheimer Ufer";"gerade";"150";"";"";"";"6 ";"Schwanheim";"532";"6.37";"6A";"A6";51;"10";60529
2192;"Schwanheimer Ufer";"gerade";"300";"";"310";"";"6 ";"Schwanheim";"531";"6.38";"6A";"A6";50;"10";60529
2192;"Schwanheimer Ufer";"ungerade";"";"";"";"";"5 ";"Niederrad";"373";"5.36";"5B";"A6";29;"10";60529
2193;"Schwanthalerstraße";"gerade";"2";"";"22";"";"5 ";"Sachsenhausen-Nord";"324";"5.32";"5A";"A6";21;"8";60594
2193;"Schwanthalerstraße";"gerade";"36";"";"38";"";"5 ";"Sachsenhausen-Nord";"324";"5.32";"5A";"A6";21;"8";60596
2193;"Schwanthalerstraße";"gerade";"40";"";"74";"";"5 ";"Sachsenhausen-Nord";"321";"5.32";"5A";"A6";21;"8";60596
2193;"Schwanthalerstraße";"ungerade";"37";"";"41";"";"5 ";"Sachsenhausen-Nord";"324";"5.32";"5A";"A6";21;"8";60596
2193;"Schwanthalerstraße";"ungerade";"45";"";"73";"";"5 ";"Sachsenhausen-Nord";"321";"5.32";"5A";"A6";21;"8";60596
2193;"Schwanthalerstraße";"ungerade";"5";"";"33";"";"5 ";"Sachsenhausen-Nord";"324";"5.32";"5A";"A6";21;"8";60594
2194;"Schwarzbachstraße";"";"";"";"";"";"6 ";"Schwanheim";"531";"6.38";"6A";"A6";50;"10";60529
2195;"Schwarzburgstraße";"gerade";"74";"";"90";"";"3 ";"Nordend-West";"203";"3.16";" 3";"B3";11;"3";60318
2195;"Schwarzburgstraße";"gerade";"8";"";"70";"";"3 ";"Nordend-West";"212";"3.17";" 3";"A1";12;"3";60318
2195;"Schwarzburgstraße";"ungerade";"1";"";"53";"";"3 ";"Nordend-West";"212";"3.17";" 3";"A1";12;"3";60318
2195;"Schwarzburgstraße";"ungerade";"57";"";"77";"";"3 ";"Nordend-West";"203";"3.16";" 3";"B3";11;"3";60318
2196;"Schwarzerlenweg";"";"";"";"";"";"6 ";"Griesheim";"542";"6.40";"6A";"A3";52;"16";65933
2198;"Schwarzsteinkautweg";"gerade";"";"";"";"";"5 ";"Sachsenhausen-Süd";"326";"5.34";"5A";"A6";23;"8";60598
2198;"Schwarzsteinkautweg";"ungerade";"1";"";"15";"";"5 ";"Sachsenhausen-Süd";"325";"5.34";"5A";"A6";23;"10";60598
2198;"Schwarzsteinkautweg";"ungerade";"17";"";"19";"";"5 ";"Sachsenhausen-Süd";"326";"5.34";"5A";"A6";23;"8";60598
2199;"Schwarzwaldstraße";"gerade";"2";"";"48";"";"5 ";"Niederrad";"371";"5.35";"5B";"A6";28;"10";60528
2199;"Schwarzwaldstraße";"gerade";"56";"";"162";"";"5 ";"Niederrad";"372";"5.36";"5B";"A6";28;"10";60528
2199;"Schwarzwaldstraße";"ungerade";"1";"";"45";"";"5 ";"Niederrad";"371";"5.35";"5B";"A6";28;"10";60528
2199;"Schwarzwaldstraße";"ungerade";"121";"";"155";"";"5 ";"Sachsenhausen-Süd";"325";"5.34";"5A";"A6";23;"10";60528
2199;"Schwarzwaldstraße";"ungerade";"53";"";"85";"";"5 ";"Niederrad";"372";"5.36";"5B";"A6";28;"10";60528
2200;"Schwedenpfad";"";"";"";"";"";"6 ";"Nied";"561";"6.42";"6A";"A7";53;"17";65934
2201;"Schwedlerbrücke";"";"";"";"";"";"4 ";"Ostend";"261";"4.27";" 4";"A1";6;"5";60314
2201;"Schwedlerbrücke";"";"";"";"";"";"4 ";"Ostend";"261";"4.27";" 4";"A1";6;"5";60385
2202;"Schwedlerstraße";"";"";"";"";"";"4 ";"Ostend";"261";"4.27";" 4";"A1";6;"5";60314
2203;"Schweinfurter Weg";"";"";"";"";"";"5 ";"Sachsenhausen-Süd";"332";"5.29";"5A";"A6";24;"8";60599
2204;"Schweizer Platz";"gerade";"";"";"";"";"5 ";"Sachsenhausen-Nord";"321";"5.32";"5A";"A6";21;"8";60594
2204;"Schweizer Platz";"ungerade";"";"";"";"";"5 ";"Sachsenhausen-Nord";"324";"5.32";"5A";"A6";21;"8";60594
2205;"Schweizer Straße";"gerade";"";"";"";"";"5 ";"Sachsenhausen-Nord";"321";"5.32";"5A";"A6";21;"8";60594
2205;"Schweizer Straße";"ungerade";"";"";"";"";"5 ";"Sachsenhausen-Nord";"324";"5.32";"5A";"A6";21;"8";60594
2206;"Schwertmannstraße";"";"";"";"";"";"10";"Bonames";"491";"10.70";"10";"A2";45;"14";60437
2207;"Schwesternstraße";"";"";"";"";"";"6 ";"Sossenheim";"631";"6.53";"6C";"A7";58;"17";65936
2208;"Schwindstraße";"";"";"";"";"";"2 ";"Westend-Süd";"170";"2.11";" 2";"A4";3;"13";60325
2209;"Sebastian-Rinz-Straße";"";"";"";"";"";"2 ";"Westend-Nord";"191";"2.09";" 2";"B3";4;"3";60323
2210;"Seckbacher Landstraße";"";"";"";"";"";"4 ";"Bornheim";"272";"4.22";" 4";"A1";18;"6";60389
2211;"Seckbächer Gasse";"";"";"";"";"";"1 ";"Altstadt";"010";"1.01";" 1";"A1";1;"1";60311
2212;"Sedanstraße";"";"";"";"";"";"11";"Fechenheim";"520";"11.78";"11";"A1";49;"18";60386
2213;"Seebachstraße";"";"";"";"";"";"6 ";"Unterliederbach";"621";"6.51";"6C";"A7";57;"17";65929
2214;"Seegewann";"";"";"";"";"";"7 ";"Rödelheim";"402";"7.56";" 7";"A4";33;"11";60489
2215;"Seeheimer Straße";"";"";"";"";"";"5 ";"Oberrad";"380";"5.28";"5A";"A6";30;"8";60599
2216;"Seehofstraße";"";"";"";"";"";"5 ";"Sachsenhausen-Nord";"331";"5.31";"5A";"A6";20;"8";60594
2217;"Seehofsweg";"";"";"";"";"";"5 ";"Sachsenhausen-Süd";"332";"5.29";"5A";"A6";24;"8";60599
2218;"Seelenberger Straße";"";"";"";"";"";"7 ";"Rödelheim";"401";"7.55";" 7";"A4";32;"11";60489
2219;"Seibertsgasse";"";"";"";"";"";"8 ";"Niederursel";"481";"8.63";" 8";"A2";43;"14";60439
2220;"Seilerbahn";"";"";"";"";"";"6 ";"Höchst";"580";"6.45";"6C";"A7";54;"17";65929
2221;"Seilerstraße";"";"";"";"";"";"1 ";"Innenstadt";"070";"1.01";" 1";"A1";1;"1";60313
2222;"Selma-Lagerlöf-Straße";"";"";"";"";"";"9 ";"Ginnheim";"441";"9.67";" 9";"A2";38;"12";60431
2223;"Senckenberganlage";"";"";"";"";"";"2 ";"Westend-Süd";"170";"2.11";" 2";"A4";3;"13";60325
2224;"Seulberger Straße";"";"";"";"";"";"10";"Bonames";"491";"10.70";"10";"A2";45;"14";60437
2225;"Seumestraße";"";"";"";"";"";"3 ";"Nordend-Ost";"230";"3.20";" 3";"A1";14;"3";60316
2226;"Severusstraße";"gerade";"2";"";"44";"";"8 ";"Heddernheim";"431";"8.61";" 8";"A2";37;"14";60439
2226;"Severusstraße";"gerade";"46";"";"80";"";"8 ";"Heddernheim";"432";"8.62";" 8";"A2";36;"14";60439
2226;"Severusstraße";"ungerade";"1";"";"45";"";"8 ";"Heddernheim";"431";"8.61";" 8";"A2";37;"14";60439
2226;"Severusstraße";"ungerade";"47";"";"99";"";"8 ";"Heddernheim";"432";"8.62";" 8";"A2";36;"14";60439
2227;"Siegener Straße";"gerade";"";"";"";"";"6 ";"Sossenheim";"632";"6.54";"6C";"A7";58;"17";65936
2227;"Siegener Straße";"ungerade";"";"";"";"";"6 ";"Sossenheim";"631";"6.53";"6C";"A7";58;"17";65936
2228;"Siemensstraße";"";"";"";"";"";"5 ";"Sachsenhausen-Nord";"331";"5.31";"5A";"A6";20;"8";60594
2229;"Sieringstraße";"";"";"";"";"";"6 ";"Unterliederbach";"622";"6.52";"6C";"A7";57;"17";65929
2230;"Siesmayerstraße";"gerade";"4";"";"62";"";"2 ";"Westend-Süd";"180";"2.10";" 2";"A4";4;"3";60323
2230;"Siesmayerstraße";"gerade";"66";"";"72";"";"2 ";"Westend-Nord";"191";"2.09";" 2";"B3";4;"3";60323
2230;"Siesmayerstraße";"ungerade";"";"";"";"";"2 ";"Westend-Süd";"180";"2.10";" 2";"A4";4;"3";60323
2231;"Sigmund-Freud-Straße";"";"";"";"";"";"10";"Eckenheim";"461";"10.72";"10";"B3";40;"12";60435
2232;"Silberbornstraße";"";"";"";"";"";"9 ";"Dornbusch";"463";"9.69";" 9";"B3";41;"12";60320
2233;"Silcherstraße";"";"";"";"";"";"6 ";"Schwanheim";"531";"6.38";"6A";"A6";50;"10";60529
2234;"Silostraße";"";"";"";"";"";"6 ";"Unterliederbach";"623";"6.51";"6C";"A7";57;"17";65929
2235;"Simon-Bolivar-Anlage";"";"";"";"";"";"2 ";"Westend-Nord";"191";"2.09";" 2";"B3";4;"3";60323
2236;"Simon-Ochs-Straße";"";"";"";"";"";"10";"Preungesheim";"470";"10.73";"10";"B3";42;"12";60435
2237;"Simsonstraße";"";"";"";"";"";"4 ";"Ostend";"252";"4.25";" 4";"A1";16;"5";60385
2238;"Sindlinger Bahnstraße";"gerade";"12";"";"122";"";"6 ";"Sindlingen";"601";"6.47";"6B";"A7";55;"17";65931
2238;"Sindlinger Bahnstraße";"gerade";"124";"";"176";"";"6 ";"Sindlingen";"602";"6.48";"6B";"A7";55;"17";65931
2238;"Sindlinger Bahnstraße";"ungerade";"1";"";"123";"";"6 ";"Sindlingen";"601";"6.47";"6B";"A7";55;"17";65931
2238;"Sindlinger Bahnstraße";"ungerade";"127";"A";"179";"";"6 ";"Sindlingen";"602";"6.48";"6B";"A7";55;"17";65931
2239;"Sindlinger Mainwasen";"";"";"";"";"";"6 ";"Sindlingen";"601";"6.47";"6B";"A7";55;"17";65931
2240;"Sindlinger Straße";"";"";"";"";"";"1 ";"Gallus";"162";"1.07";" 1";"A3";9;"4";60326
2241;"Sinner Weg";"";"";"";"";"";"8 ";"Heddernheim";"431";"8.61";" 8";"A2";37;"14";60439
2242;"Siolistraße";"";"";"";"";"";"2 ";"Westend-Nord";"191";"2.09";" 2";"B3";4;"3";60323
2243;"Sirenenstraße";"";"";"";"";"";"6 ";"Höchst";"580";"6.45";"6C";"A7";54;"17";65929
2244;"Sodener Straße";"gerade";"";"";"";"";"1 ";"Gallus";"162";"1.07";" 1";"A3";9;"4";60326
2244;"Sodener Straße";"ungerade";"";"";"";"";"1 ";"Gallus";"165";"1.08";" 1";"A3";8;"4";60326
2245;"Sömmerringstraße";"";"";"";"";"";"3 ";"Nordend-West";"201";"3.21";" 3";"B3";11;"3";60322
2246;"Solmspark";"";"";"";"";"";"7 ";"Rödelheim";"401";"7.55";" 7";"A4";32;"11";60489
2247;"Solmsstraße";"";"";"";"";"";"2 ";"Bockenheim";"342";"2.14";" 2";"A4";10;"13";60486
2248;"Sommerhoffpark";"";"";"";"";"";"1 ";"Gutleutviertel";"151";"1.04";" 1";"A3";2;"4";60327
2249;"Sondershausenstraße";"";"";"";"";"";"1 ";"Gallus";"154";"1.05";" 1";"A3";8;"16";60326
2250;"Sonnemannstraße";"gerade";"20";"";"";"";"4 ";"Ostend";"261";"4.27";" 4";"A1";6;"5";60314
2250;"Sonnemannstraße";"gerade";"6";"";"16";"";"4 ";"Ostend";"140";"4.26";" 4";"A1";6;"5";60314
2250;"Sonnemannstraße";"ungerade";"1";"";"51";"";"4 ";"Ostend";"140";"4.26";" 4";"A1";6;"5";60314
2250;"Sonnemannstraße";"ungerade";"53";"";"83";"";"4 ";"Ostend";"261";"4.27";" 4";"A1";6;"5";60314
2251;"Sonnenhof (Wohnplatz)";"";"";"";"";"";"6 ";"Sossenheim";"632";"6.54";"6C";"A7";58;"17";65936
2252;"Sonnenweg";"";"";"";"";"";"6 ";"Schwanheim";"532";"6.37";"6A";"A6";51;"10";60529
2253;"Sontraer Straße";"";"";"";"";"";"11";"Fechenheim";"510";"11.77";"11";"A1";48;"18";60386
2254;"Soonwaldstraße";"";"";"";"";"";"6 ";"Unterliederbach";"621";"6.51";"6C";"A7";57;"17";65929
2255;"Sophienstraße";"gerade";"";"";"";"";"2 ";"Bockenheim";"362";"2.12";" 2";"A4";27;"13";60487
2255;"Sophienstraße";"ungerade";"1";"";"121";"";"2 ";"Bockenheim";"361";"2.12";" 2";"A4";27;"13";60487
2255;"Sophienstraße";"ungerade";"125";"";"131";"";"2 ";"Bockenheim";"362";"2.12";" 2";"A4";27;"13";60487
2256;"Sossenheimer Mühlgasse";"";"";"";"";"";"6 ";"Sossenheim";"631";"6.53";"6C";"A7";58;"17";65936
2257;"Sossenheimer Weg";"gerade";"170";"";"198";"";"6 ";"Sossenheim";"631";"6.53";"6C";"A7";58;"17";65936
2257;"Sossenheimer Weg";"gerade";"2";"";"80";"";"6 ";"Unterliederbach";"622";"6.52";"6C";"A7";57;"17";65929
2257;"Sossenheimer Weg";"gerade";"94";"";"164";"E";"6 ";"Höchst";"570";"6.44";"6C";"A7";54;"17";65929
2257;"Sossenheimer Weg";"ungerade";"3";"";"77";"";"6 ";"Unterliederbach";"622";"6.52";"6C";"A7";57;"17";65929
2257;"Sossenheimer Weg";"ungerade";"99";"";"";"";"6 ";"Sossenheim";"631";"6.53";"6C";"A7";58;"17";65936
2258;"Souchaystraße";"";"";"";"";"";"5 ";"Sachsenhausen-Nord";"324";"5.32";"5A";"A6";21;"8";60594
2259;"Spatzengasse";"";"";"";"";"";"5 ";"Oberrad";"380";"5.28";"5A";"A6";30;"8";60599
2260;"Speckgäßchen";"";"";"";"";"";"5 ";"Oberrad";"380";"5.28";"5A";"A6";30;"8";60599
2261;"Speckgasse";"";"";"";"";"";"5 ";"Oberrad";"380";"5.28";"5A";"A6";30;"8";60599
2262;"Speckweg";"gerade";"";"";"";"";"5 ";"Sachsenhausen-Nord";"331";"5.31";"5A";"A6";20;"8";60599
2262;"Speckweg";"ungerade";"";"";"";"";"5 ";"Oberrad";"380";"5.28";"5A";"A6";30;"8";60599
2263;"Speicherstraße";"";"";"";"";"";"1 ";"Gutleutviertel";"151";"1.04";" 1";"A3";2;"4";60327
2264;"Spenerstraße";"";"";"";"";"";"9 ";"Dornbusch";"462";"9.69";" 9";"B3";41;"12";60320
2265;"Spessartstraße";"";"";"";"";"";"4 ";"Bornheim";"282";"4.24";" 4";"A1";19;"5";60385
2266;"Speyerer Straße";"";"";"";"";"";"1 ";"Gallus";"161";"1.06";" 1";"A3";7;"4";60327
2267;"Spielmannstraße";"";"";"";"";"";"6 ";"Nied";"561";"6.42";"6A";"A7";53;"16";65934
2268;"Spielsgasse";"";"";"";"";"";"8 ";"Niederursel";"481";"8.63";" 8";"A2";43;"14";60439
2269;"Spohrstraße";"gerade";"16";"";"66";"";"3 ";"Nordend-West";"212";"3.17";" 3";"A1";12;"3";60318
2269;"Spohrstraße";"gerade";"2";"";"14";"";"3 ";"Nordend-West";"211";"3.19";" 3";"A1";12;"3";60318
2269;"Spohrstraße";"ungerade";"1";"";"17";"A";"3 ";"Nordend-West";"211";"3.19";" 3";"A1";12;"3";60318
2269;"Spohrstraße";"ungerade";"19";"";"63";"";"3 ";"Nordend-West";"212";"3.17";" 3";"A1";12;"3";60318
2271;"Städelstraße";"";"";"";"";"";"5 ";"Sachsenhausen-Nord";"321";"5.32";"5A";"A6";21;"8";60596
2273;"Stalburgstraße";"";"";"";"";"";"3 ";"Nordend-West";"201";"3.21";" 3";"B3";11;"3";60318
2274;"Starenweg";"";"";"";"";"";"6 ";"Unterliederbach";"621";"6.51";"6C";"A7";57;"17";65929
2275;"Starkenburger Straße";"";"";"";"";"";"11";"Fechenheim";"520";"11.78";"11";"A1";49;"18";60386
2276;"Staufenstraße";"gerade";"";"";"";"";"2 ";"Westend-Süd";"180";"2.10";" 2";"A4";4;"3";60323
2276;"Staufenstraße";"ungerade";"";"";"";"";"2 ";"Westend-Süd";"110";"2.10";" 2";"A4";4;"3";60323
2279;"Stefan-Zweig-Straße";"";"";"";"";"";"9 ";"Ginnheim";"441";"9.67";" 9";"A2";38;"12";60431
2280;"Stegerwaldstraße";"";"";"";"";"";"6 ";"Unterliederbach";"621";"6.51";"6C";"A7";57;"17";65929
2281;"Stegstraße";"";"";"";"";"";"5 ";"Sachsenhausen-Nord";"324";"5.32";"5A";"A6";21;"8";60594
2282;"Steinäckerstraße";"";"";"";"";"";"11";"Fechenheim";"520";"11.78";"11";"A1";49;"18";60386
2283;"Steinauer Straße";"";"";"";"";"";"11";"Fechenheim";"510";"11.77";"11";"A1";48;"18";60386
2284;"Steinbacher Hohl";"gerade";"";"";"";"";"7 ";"Praunheim";"425";"7.60";" 7";"A4";35;"14";60488
2284;"Steinbacher Hohl";"ungerade";"";"";"";"";"7 ";"Praunheim";"422";"7.59";" 7";"A4";34;"14";60488
2285;"Steingrundweg";"";"";"";"";"";"5 ";"Niederrad";"372";"5.36";"5B";"A6";28;"10";60528
2286;"Steinhausenstraße";"";"";"";"";"";"5 ";"Sachsenhausen-Süd";"332";"5.29";"5A";"A6";24;"8";60599
2287;"Steinkleestraße";"";"";"";"";"";"10";"Eckenheim";"461";"10.72";"10";"B3";40;"12";60435
2288;"Steinkopfweg";"";"";"";"";"";"6 ";"Zeilsheim";"611";"6.49";"6B";"A7";56;"17";65931
2289;"Steinlestraße";"";"";"";"";"";"5 ";"Sachsenhausen-Nord";"322";"5.33";"5A";"A6";21;"8";60596
2290;"Steinmetzstraße";"";"";"";"";"";"6 ";"Sindlingen";"601";"6.47";"6B";"A7";55;"17";65931
2291;"Steinrutsch";"";"";"";"";"";"6 ";"Zeilsheim";"611";"6.49";"6B";"A7";56;"17";65931
2293;"Steinweg";"";"";"";"";"";"1 ";"Innenstadt";"050";"1.02";" 1";"A1";1;"1";60313
2294;"Stephan-Heise-Straße";"";"";"";"";"";"7 ";"Praunheim";"423";"7.59";" 7";"A4";34;"11";60488
2295;"Stephanstraße";"";"";"";"";"";"1 ";"Innenstadt";"060";"1.02";" 1";"A1";1;"1";60313
2296;"Sterlepperstraße";"";"";"";"";"";"10";"Eckenheim";"461";"10.72";"10";"B3";40;"12";60435
2297;"Sternbrücke";"";"";"";"";"";"7 ";"Rödelheim";"401";"7.55";" 7";"A4";32;"11";60487
2297;"Sternbrücke";"";"";"";"";"";"7 ";"Rödelheim";"401";"7.55";" 7";"A4";32;"11";60489
2298;"Sternstraße";"";"";"";"";"";"3 ";"Nordend-West";"120";"3.21";" 3";"A1";5;"3";60318
2299;"Stettenstraße";"";"";"";"";"";"3 ";"Nordend-West";"203";"3.16";" 3";"B3";11;"3";60322
2300;"Steuernagelstraße";"";"";"";"";"";"1 ";"Gallus";"154";"1.05";" 1";"A3";8;"16";60326
2301;"St.-George-Straße";"";"";"";"";"";"4 ";"Bornheim";"272";"4.22";" 4";"A1";18;"6";60389
2302;"Stichelstraße";"";"";"";"";"";"7 ";"Rödelheim";"401";"7.55";" 7";"A4";32;"11";60489
2303;"Stichgärtenstraße";"";"";"";"";"";"6 ";"Nied";"561";"6.42";"6A";"A7";53;"16";65934
2304;"Stieglitzenweg";"";"";"";"";"";"6 ";"Unterliederbach";"621";"6.51";"6C";"A7";57;"17";65929
2305;"Stierstädter Straße";"";"";"";"";"";"7 ";"Praunheim";"422";"7.59";" 7";"A4";34;"14";60488
2306;"Stiftstraße";"";"";"";"";"";"1 ";"Innenstadt";"060";"1.02";" 1";"A1";1;"1";60313
2307;"Stockheimer Straße";"";"";"";"";"";"4 ";"Bornheim";"281";"4.24";" 4";"A1";19;"6";60385
2308;"Stoltzestraße";"";"";"";"";"";"1 ";"Innenstadt";"080";"1.01";" 1";"A1";1;"1";60311
2309;"Storchgasse";"";"";"";"";"";"6 ";"Höchst";"591";"6.46";"6C";"A7";54;"17";65929
2311;"Strahlenberger Weg";"";"";"";"";"";"5 ";"Sachsenhausen-Nord";"331";"5.31";"5A";"A6";20;"8";60599
2312;"Stralsunder Straße";"";"";"";"";"";"2 ";"Westend-Nord";"191";"2.09";" 2";"B3";4;"3";60323
2314;"Stresemannallee";"gerade";"6";"";"48";"";"5 ";"Sachsenhausen-Nord";"322";"5.33";"5A";"A6";21;"8";60596
2314;"Stresemannallee";"gerade";"78";"";"96";"";"5 ";"Sachsenhausen-Süd";"326";"5.34";"5A";"A6";23;"8";60598
2314;"Stresemannallee";"ungerade";"";"";"";"";"5 ";"Sachsenhausen-Nord";"322";"5.33";"5A";"A6";21;"8";60596
2315;"Stroofstraße";"";"";"";"";"";"6 ";"Griesheim";"551";"6.39";"6A";"A3";52;"16";65933
2316;"Strubbergstraße";"";"";"";"";"";"7 ";"Rödelheim";"402";"7.56";" 7";"A4";33;"11";60489
2317;"Stützeläckerweg";"";"";"";"";"";"7 ";"Rödelheim";"402";"7.56";" 7";"A4";33;"11";60489
2318;"Stupanusstraße";"";"";"";"";"";"6 ";"Höchst";"570";"6.44";"6C";"A7";54;"17";65929
2319;"Stuttgarter Straße";"";"";"";"";"";"1 ";"Gutleutviertel";"151";"1.04";" 1";"A3";2;"4";60329
2320;"Sudermannstraße";"";"";"";"";"";"9 ";"Ginnheim";"441";"9.67";" 9";"A2";38;"12";60431
2321;"Sulzbacher Straße";"";"";"";"";"";"1 ";"Gallus";"162";"1.07";" 1";"A3";9;"4";60326
2322;"Tacitusstraße";"";"";"";"";"";"8 ";"Heddernheim";"432";"8.62";" 8";"A2";36;"14";60439
2323;"Taläckerstraße";"";"";"";"";"";"6 ";"Griesheim";"551";"6.39";"6A";"A3";52;"16";65933
2324;"Tannenkopfweg";"";"";"";"";"";"6 ";"Schwanheim";"532";"6.37";"6A";"A6";51;"10";60529
2325;"Tannenwaldstraße";"";"";"";"";"";"6 ";"Schwanheim";"531";"6.38";"6A";"A6";50;"10";60529
2326;"Tarnowitzer Straße";"";"";"";"";"";"6 ";"Griesheim";"552";"6.41";"6A";"A3";52;"16";65933
2327;"Taubenstraße";"";"";"";"";"";"1 ";"Innenstadt";"050";"1.02";" 1";"A1";1;"1";60313
2328;"Taufsteinweg";"";"";"";"";"";"10";"Eckenheim";"461";"10.72";"10";"B3";40;"12";60435
2329;"Taunusanlage";"gerade";"12";"";"20";"";"2 ";"Westend-Süd";"100";"2.11";" 2";"A4";3;"13";60325
2329;"Taunusanlage";"gerade";"4";"";"10";"";"1 ";"Bahnhofsviertel";"090";"1.03";" 1";"A3";2;"4";60329
2329;"Taunusanlage";"ungerade";"1";"";"11";"";"1 ";"Bahnhofsviertel";"090";"1.03";" 1";"A3";2;"4";60329
2329;"Taunusanlage";"ungerade";"15";"";"21";"";"2 ";"Westend-Süd";"100";"2.11";" 2";"A4";3;"13";60325
2330;"Taunusblick";"";"";"";"";"";"6 ";"Nied";"562";"6.43";"6A";"A7";53;"16";65934
2331;"Taunusstraße";"";"";"";"";"";"1 ";"Bahnhofsviertel";"090";"1.03";" 1";"A3";2;"4";60329
2332;"Taunustor";"";"";"";"";"";"1 ";"Innenstadt";"040";"1.03";" 1";"A1";1;"1";60310
2333;"Teichstraße";"";"";"";"";"";"5 ";"Sachsenhausen-Nord";"331";"5.31";"5A";"A6";20;"8";60594
2334;"Telemannstraße";"";"";"";"";"";"2 ";"Westend-Süd";"180";"2.10";" 2";"A4";4;"3";60323
2335;"Teplitz-Schönauer-Straße";"";"";"";"";"";"5 ";"Sachsenhausen-Süd";"326";"5.34";"5A";"A6";23;"8";60598
2336;"Teutonenweg";"";"";"";"";"";"6 ";"Unterliederbach";"622";"6.52";"6C";"A7";57;"17";65929
2337;"Tevesstraße";"";"";"";"";"";"1 ";"Gallus";"154";"1.05";" 1";"A3";8;"16";60326
2338;"Textorstraße";"gerade";"2";"";"76";"";"5 ";"Sachsenhausen-Nord";"324";"5.32";"5A";"A6";21;"8";60594
2338;"Textorstraße";"gerade";"80";"";"112";"";"5 ";"Sachsenhausen-Nord";"321";"5.32";"5A";"A6";21;"8";60596
2338;"Textorstraße";"ungerade";"7";"";"83";"";"5 ";"Sachsenhausen-Nord";"324";"5.32";"5A";"A6";21;"8";60594
2338;"Textorstraße";"ungerade";"87";"";"";"";"5 ";"Sachsenhausen-Nord";"321";"5.32";"5A";"A6";21;"8";60594
2338;"Textorstraße";"ungerade";"89";"";"111";"";"5 ";"Sachsenhausen-Nord";"321";"5.32";"5A";"A6";21;"8";60596
2339;"Willy-Brandt-Platz";"";"";"";"";"";"1 ";"Innenstadt";"040";"1.03";" 1";"A1";1;"1";60311
2340;"Theobald-Christ-Straße";"";"";"";"";"";"4 ";"Ostend";"140";"4.26";" 4";"A1";6;"5";60316
2341;"Theobald-Ziegler-Straße";"";"";"";"";"";"10";"Eckenheim";"461";"10.72";"10";"B3";40;"12";60435
2342;"Theodor-Fischer-Weg";"";"";"";"";"";"7 ";"Praunheim";"422";"7.59";" 7";"A4";34;"14";60488
2343;"Theodor-Haubach-Weg";"";"";"";"";"";"11";"Riederwald";"262";"11.76";"11";"A1";17;"18";60386
2344;"Theodor-Heuss-Allee";"gerade";"2";"";"";"";"2 ";"Westend-Süd";"170";"2.11";" 2";"A4";3;"13";60486
2344;"Theodor-Heuss-Allee";"gerade";"44";"";"50";"";"2 ";"Bockenheim";"341";"2.13";" 2";"A4";25;"13";60486
2344;"Theodor-Heuss-Allee";"gerade";"70";"";"112";"";"2 ";"Bockenheim";"342";"2.14";" 2";"A4";10;"13";60486
2344;"Theodor-Heuss-Allee";"ungerade";"3";"";"25";"";"2 ";"Westend-Süd";"170";"2.11";" 2";"A4";3;"13";60486
2344;"Theodor-Heuss-Allee";"ungerade";"51";"";"";"";"2 ";"Bockenheim";"163";"2.15";" 2";"A4";10;"13";60486
