Straßennummer;Straßenname;Folge;Hausnr. (von);Zusatz zur Hausnr (von);Hausnr. (bis);Zusatz zur Hausnr (bis);Ortsbezirk;Stadtteil Name;Stadtbezirk;Stadtbezirksvorst;Schiedsamtsbezirk;Sozialrathausbezirk;Sozialbezirk;Polizeirevier;Postleitzahl
384;"Baumertstraße";"ungerade";"1";"";"29";"";"11";"Fechenheim";"510";"11.77";"11";"A1";48;"18";60386
384;"Baumertstraße";"ungerade";"37";"";"81";"";"11";"Fechenheim";"520";"11.78";"11";"A1";49;"18";60386
385;"Baumweg";"gerade";"2";"";"42";"";"3 ";"Nordend-Ost";"130";"3.20";" 3";"A1";14;"3";60316
385;"Baumweg";"gerade";"44";"";"50";"";"3 ";"Nordend-Ost";"130";"3.20";" 3";"A1";5;"3";60316
385;"Baumweg";"ungerade";"1";"";"39";"";"3 ";"Nordend-Ost";"130";"3.20";" 3";"A1";14;"3";60316
385;"Baumweg";"ungerade";"41";"";"57";"";"3 ";"Nordend-Ost";"130";"3.20";" 3";"A1";5;"3";60316
386;"Baustraße";"";"";"";"";"";"3 ";"Nordend-West";"201";"3.21";" 3";"B3";11;"3";60322
387;"Bebraer Straße";"";"";"";"";"";"11";"Fechenheim";"510";"11.77";"11";"A1";48;"18";60386
388;"Bechtenwaldstraße";"";"";"";"";"";"6 ";"Zeilsheim";"612";"6.50";"6B";"A7";56;"17";65931
390;"Beethovenplatz";"";"";"";"";"";"2 ";"Westend-Süd";"170";"2.11";" 2";"A4";3;"13";60325
391;"Beethovenstraße";"";"";"";"";"";"2 ";"Westend-Süd";"170";"2.11";" 2";"A4";3;"13";60325
392;"Belchenstraße";"";"";"";"";"";"5 ";"Niederrad";"371";"5.35";"5B";"A6";28;"10";60528
393;"Bendelgasse";"";"";"";"";"";"8 ";"Heddernheim";"431";"8.61";" 8";"A2";37;"14";60439
396;"Berger Straße";"gerade";"126";"";"190";"";"4 ";"Bornheim";"240";"4.23";" 4";"A1";15;"6";60385
396;"Berger Straße";"gerade";"194";"";"206";"";"4 ";"Bornheim";"282";"4.24";" 4";"A1";19;"6";60385
396;"Berger Straße";"gerade";"212";"";"296";"";"4 ";"Bornheim";"281";"4.24";" 4";"A1";19;"6";60385
396;"Berger Straße";"gerade";"308";"";"458";"";"4 ";"Bornheim";"290";"4.22";" 4";"A1";18;"6";60385
396;"Berger Straße";"gerade";"4";"";"42";"";"3 ";"Nordend-Ost";"130";"3.20";" 3";"A1";14;"3";60316
396;"Berger Straße";"gerade";"46";"";"124";"B";"3 ";"Nordend-Ost";"230";"3.20";" 3";"A1";14;"3";60316
396;"Berger Straße";"ungerade";"107";"";"179";"";"4 ";"Bornheim";"240";"4.23";" 4";"A1";15;"6";60385
396;"Berger Straße";"ungerade";"15";"";"41";"";"3 ";"Nordend-Ost";"130";"3.20";" 3";"A1";5;"3";60316
396;"Berger Straße";"ungerade";"183";"";"225";"";"4 ";"Bornheim";"271";"4.23";" 4";"A1";15;"6";60385
396;"Berger Straße";"ungerade";"233";"";"387";"";"4 ";"Bornheim";"272";"4.22";" 4";"A1";18;"6";60385
396;"Berger Straße";"ungerade";"47";"";"101";"";"3 ";"Nordend-Ost";"230";"3.20";" 3";"A1";14;"3";60316
397;"Berger Weg";"";"";"";"";"";"11";"Seckbach";"390";"11.75";"11";"A1";31;"6";60389
398;"Bergesgrundweg";"";"";"";"";"";"5 ";"Sachsenhausen-Süd";"332";"5.29";"5A";"A6";24;"8";60599
399;"Bergmannweg";"";"";"";"";"";"6 ";"Nied";"562";"6.43";"6A";"A7";53;"16";65934
400;"Berkersheimer Bahnstraße";"";"";"";"";"";"10";"Berkersheim";"500";"10.74";"10";"A2";47;"14";60435
401;"Berkersheimer Hohl";"";"";"";"";"";"10";"Berkersheim";"500";"10.74";"10";"A2";47;"14";60435
402;"Berkersheimer Obergasse";"";"";"";"";"";"10";"Berkersheim";"500";"10.74";"10";"A2";47;"14";60435
403;"Berkersheimer Untergasse";"";"";"";"";"";"10";"Berkersheim";"500";"10.74";"10";"A2";47;"14";60435
404;"Berkersheimer Weg";"gerade";"104";"";"120";"";"9 ";"Eschersheim";"451";"9.65";" 9";"B3";39;"12";60433
404;"Berkersheimer Weg";"gerade";"2";"A";"102";"";"10";"Frankfurter Berg";"492";"10.71";"10";"A2";46;"14";60433
404;"Berkersheimer Weg";"ungerade";"163";"";"205";"";"9 ";"Eschersheim";"451";"9.65";" 9";"B3";39;"12";60433
404;"Berkersheimer Weg";"ungerade";"7";"";"155";"";"10";"Frankfurter Berg";"492";"10.71";"10";"A2";46;"14";60433
405;"Berliner Straße";"gerade";"2";"";"72";"";"1 ";"Altstadt";"010";"1.01";" 1";"A1";1;"1";60311
405;"Berliner Straße";"gerade";"74";"";"";"";"1 ";"Innenstadt";"040";"1.03";" 1";"A1";1;"1";60311
